sim_id,persona,archetype_id,category,question,coverage,source_docs
1,Tribe Officer,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
2,New Player,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
3,Hauler,Q031,Map/Bridge,Can Signal Vault interact with the in-game map?,partial,phases/phase-10-map-and-bridge.md
4,Tribe Member,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
5,Hauler,Q019,Dossiers,Can Signal Vault track markets?,yes,product/02-feature-to-gameplay-map.md; architecture/05-signal-domain-model.md
6,New Player,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
7,Developer / Maintainer,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
8,Hauler,Q022,Staleness,Can stale Signals be deleted automatically?,partial,architecture/05-signal-domain-model.md
9,Tribe Officer,Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md
10,Solo Scout,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
11,Tribe Officer,Q039,Security,How are access codes secured?,yes,architecture/03-viewer-context.md; architecture/08-security-and-permissions.md
12,Developer / Maintainer,Q050,Release,What are the biggest project risks?,yes,operations/03-risk-register.md
13,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
14,Hauler,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
15,New Player,Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md
16,Solo Scout,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
17,Solo Scout,Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md
18,New Player,Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md
19,Intel Analyst,Q017,Dossiers,What should a gate dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
20,Tribe Member,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
21,New Player,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
22,Builder / Operator,Q037,Security,Is manual intel safe to trust?,yes,architecture/07-data-sources.md
23,Solo Scout,Q027,Local First,Can I export my notes?,yes,product/00-prd.md; phases/phase-06-local-first-sync.md
24,New Player,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
25,New Player,Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md
26,Hauler,Q028,Tribe Vault,Can my tribe share Signals?,partial,phases/phase-08-tribe-vault.md
27,Developer / Maintainer,Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md
28,Tribe Officer,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
29,Builder / Operator,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
30,Hauler,Q051,Privacy,Can I delete my Signals?,partial,phases/phase-04-signals-mvp.md; implementation/04-api-contracts.md
31,Solo Scout,Q018,Dossiers,What should a storage dossier show?,yes,architecture/06-ingame-mode.md; phases/phase-05-dossiers.md
32,New Player,Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md
33,New Player,Q029,Tribe Vault,Can officers have private Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-08-tribe-vault.md
34,Builder / Operator,Q035,Smart Assemblies,Can owners set Signal Vault as a custom URL?,partial,product/00-prd.md; phases/phase-07-eve-frontier-integration.md
35,Tribe Member,Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md
36,Builder / Operator,Q034,Smart Assemblies,How does Signal Vault open from a Smart Assembly?,yes,architecture/06-ingame-mode.md; implementation/03-routes.md
37,Tribe Member,Q020,Dossiers,Can Signal Vault track systems and routes?,yes,product/02-feature-to-gameplay-map.md; phases/phase-05-dossiers.md
38,Developer / Maintainer,Q046,Backend,What database schema do we use?,yes,implementation/05-database-schema.md
39,Hauler,Q021,Staleness,Why is my Signal stale?,yes,architecture/05-signal-domain-model.md; implementation/08-testing-strategy.md
40,Tribe Member,Q055,Support,What if the in-game browser cannot render the app?,gap,operations/03-risk-register.md
41,Builder / Operator,Q042,Developer,What dependencies are allowed?,yes,implementation/01-dependency-policy.md
