id,category,sample_question,coverage,documented_source,recommended_answer,gap_or_action,weight
Q001,Identity/Auth,Why does Signal Vault say identity unresolved when I opened it from in-game?,yes,architecture/03-viewer-context.md; decisions/ADR-003-viewer-context.md,"Opening the dApp proves object/game context, not player identity. Connect wallet or use the in-game access-code flow to resolve identity.",None.,5
Q002,Identity/Auth,Can I use Signal Vault without logging in?,yes,architecture/03-viewer-context.md; product/00-prd.md,"Yes. Anonymous users can view public dossiers and create local/private drafts, but cannot publish shared or tribe Signals.",None.,5
Q003,Identity/Auth,How do I log in inside the EVE Frontier in-game browser?,yes,architecture/03-viewer-context.md,"Use the access-code fallback: connect in external browser, generate a short-lived code, enter it in the in-game browser.",Need final UI copy/screenshots later.,4
Q004,Identity/Auth,Does Signal Vault know my EVE character automatically?,partial,architecture/03-viewer-context.md; phases/phase-07-eve-frontier-integration.md,Not automatically in v0.1. It can resolve character after wallet/session integration using EVE/Sui data paths.,Need exact implementation once EVE dApp Kit wiring is tested.,4
Q005,Identity/Auth,Can someone spoof my identity by changing the URL?,yes,architecture/08-security-and-permissions.md; decisions/ADR-003-viewer-context.md,No. URL params are not trusted for identity. ViewerContext is resolved through session/wallet/access-code logic.,None.,3
Q006,Object Resolution,Why does an object show as unresolved?,yes,architecture/04-entity-resolution.md,The object type could not be verified yet. Signal Vault displays unknown safely and allows manual classification.,None.,5
Q007,Object Resolution,Can I manually mark an object as a gate or storage unit?,yes,architecture/04-entity-resolution.md; phases/phase-03-entity-resolution.md,Yes. Manual classification is supported but visibly marked as manual/not verified.,None.,5
Q008,Object Resolution,What does manual vs verified mean?,yes,architecture/04-entity-resolution.md,"Manual means user/tribe-classified. Verified means resolved from stronger sources like dApp Kit, GraphQL, indexer, or on-chain data.",None.,5
Q009,Object Resolution,What if two sources disagree about object type?,yes,architecture/04-entity-resolution.md,Signal Vault marks the entity as conflicted instead of silently overwriting one source.,None.,3
Q010,Object Resolution,Can Signal Vault infer gate/storage/turret type from chain data?,partial,architecture/04-entity-resolution.md; phases/phase-07-eve-frontier-integration.md,"Yes, later phases add dApp Kit/GraphQL/indexer resolution. v0.1 starts manual-first with upgrade paths.",Need exact resolver queries from implementation/testing.,3
Q011,Signals,What is a Signal?,yes,architecture/05-signal-domain-model.md; product/01-product-thesis.md,"A Signal is a typed field record attached to EVE Frontier context, such as a gate report, storage manifest, route report, or market report.",None.,5
Q012,Signals,How do I create a quick Signal in-game?,yes,architecture/06-ingame-mode.md; phases/phase-04-signals-mvp.md,"Use quick action buttons on the object page such as Passed, Blocked, Permit Required, Access Denied, or Market Closed.",Need final button labels from UI implementation.,5
Q013,Signals,Can I edit a Signal later?,yes,product/00-prd.md; phases/phase-04-signals-mvp.md,Yes. Signal CRUD is in MVP scope; external mode handles deeper editing.,None.,3
Q014,Signals,What visibility levels exist?,yes,architecture/05-signal-domain-model.md; architecture/08-security-and-permissions.md,"local_private, private, tribe, officer, scout_cell, and public.",None.,4
Q015,Signals,Can anonymous users create public Signals?,yes,architecture/08-security-and-permissions.md; phases/phase-02-viewer-context.md,"No. Anonymous users can create local drafts/private local Signals, but publishing shared/public remote Signals requires resolved context.",None.,4
Q016,Dossiers,What is a dossier?,yes,product/00-prd.md; architecture/06-ingame-mode.md,A dossier is the object/system/route page that collects Signals and context for a specific EVE Frontier entity.,None.,4
